1
Arkansas,15,13,2,.867,15.61,2.88,2,1,9,0,3,2,1119,928,,610,387,874,.443,117,369,.317,228,299,.763,107,498,190,138,71,188,272
Army,15,5,10,.333,-14.10,-6.39,0,4,3,4,2,6,1018,1089,,605,389,846,.460,111,347,.320,129,228,.566,103,513,241,88,19,216,226
Auburn,15,15,0,1.000,19.08,3.28,3,0,9,0,2,0,1231,994,,605,427,917,.466,124,386,.321,253,385,.657,207,630,213,99,91,193,268
Austin Peay,17,10,7,.588,-2.52,-1.92,4,0,7,0,2,6,1290,1237,,680,458,1002,.457,111,339,.327,263,367,.717,206,584,223,126,55,235,319


Ball State,17,10,7,.588,6.06,-1.70,3,1,5,3,3,2,1215,1047,,680,438,1001,.438,160,469,.341,179,274,.653,162,606,250,128,54,216,259
Baylor,14,13,1,.929,20.00,4.42,3,0,7,0,2,0,1032,814,,560,370,851,.435,114,315,.362,178,255,.698,189,541,195,121,67,169,232
Belmont,17,12,5,.706,4.92,-6.45,3,1,6,1,6,3,1387,1156,,680,524,1095,.479,179,482,.371,160,225,.711,151,678,321,113,60,220,267
Bethune-Cookman,18,9,9,.500,-8.35,-5.48,3,1,5,0,2,9,1359,1298,,720,482,1125,.428,109,341,.320,286,406,.704,218,708,237,139,53,264,356
Binghamton,16,7,9,.438,-15.34,-4.63,1,2,6,2,1,7,1141,1217,,645,413,985,.419,154,464,.332,161,222,.725,170,599,190,76,54,219,251
Boise State,18,11,7,.611,5.88,2.88,3,3,8,1,1,5,1393,1265,,740,472,1045,.452,143,422,.339,306,414,.739,155,627,230,103,28,223,286
Boston College,16,9,7,.563,1.84,3.27,3,2,6,5,2,2,1040,1063,,640,370,920,.402,105,350,.300,195,293,.666,148,549,200,145,45,233,244
Boston University,18,10,8,.556,-2.22,-3.93,4,1,6,1,4,5,1288,1231,,725,492,1063,.463,116,373,.311,188,294,.639,176,645,223,104,35,217,279
Bowling Green State,17,12,5,.706,0.29,-1.31,3,1,7,1,2,1,1301,1234,,690,475,1107,.429,133,407,.327,218,296,.736,192,687,223,100,44,180,310
Bradley,17,12,5,.706,7.28,-0.78,3,1,10,0,1,4,1226,1064,,680,435,1017,.428,115,321,.358,241,333,.724,221,704,243,93,67,207,270
Brigham Young,18,13,5,.722,16.82,6.52,2,1,8,1,1,3,1411,1201,,735,527,1076,.490,185,460,.402,172,241,.714,125,615,313,99,33,209,292
Brown,13,7,6,.538,-3.71,-0.30,0,0,6,1,1,5,909,924,,520,323,772,.418,101,307,.329,162,236,.686,176,525,179,90,62,218,229
Bryant,16,9,7,.563,-2.61,-4.14,1,2,5,3,4,4,1167,1095,,645,425,1004,.423,155,470,.330,162,248,.653,187,631,233,131,78,219,306
Bucknell,17,7,10,.412,-8.27,-2.15,3,1,4,2,2,6,1169,1273,,680,413,993,.416,135,400,.338,208,283,.735,160,556,194,118,59,241,324
Buffalo,17,11,6,.647,-0.23,-0.86,2,2,6,3,2,2,1350,1303,,680,499,1126,.443,148,443,.334,204,321,.636,244,702,278,148,75,240,309
Butler,16,15,1,.938,19.20,4.76,3,0,9,0,3,1,1101,870,,640,402,841,.478,113,312,.362,184,262,.702,130,567,217,75,40,183,255
Cal Poly,16,4,12,.250,-9.80,2.85,1,1,4,3,0,7,1011,1141,,640,357,854,.418,97,292,.332,200,292,.685,125,508,157,97,31,241,308
